"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"Total:","3,220,452","435,392","4,322,337","2,114,512","16,296,122","4,082,927","2,395,128","597,763","273,194","12,422,961","5,555,483","333,261","1,510,360","7,868,227","5,241,795","2,694,521","2,222,462","3,711,254","2,657,652","1,237,041","3,007,874","4,896,037","7,444,974","4,423,146","1,658,893","4,740,335","916,524","1,538,052","1,588,463","1,216,203","5,112,280","1,078,937","11,143,349","6,488,459","645,938","9,080,688","2,514,885","3,169,096","9,750,687","782,920","3,243,442","715,336","4,990,938","14,609,365","2,573,413","577,751","5,208,856","5,130,920","1,610,749","4,737,545","488,374","560,592"
"    Male:","1,575,098","230,426","2,137,031","1,039,879","8,119,928","2,047,538","1,164,825","289,174","133,577","6,088,321","2,736,844","178,824","752,969","3,873,236","2,585,731","1,333,635","1,100,737","1,820,336","1,308,964","605,670","1,474,037","2,371,148","3,693,284","2,194,349","815,137","2,339,948","461,743","762,133","810,162","601,617","2,497,894","530,273","5,452,503","3,171,500","329,498","4,465,742","1,241,684","1,564,793","4,785,271","378,356","1,583,636","358,390","2,441,941","7,229,067","1,291,047","284,834","2,569,646","2,558,957","794,493","2,354,759","247,203","264,326"
"        Under 5 years","81,916","11,706","95,517","55,801","359,389","98,216","48,281","12,229","6,127","250,425","136,647","6,242","44,296","191,369","143,782","72,749","61,691","102,158","69,109","26,301","70,597","100,433","180,585","112,605","41,676","127,104","23,208","44,636","35,297","25,499","119,193","25,325","263,124","152,045","19,618","229,075","61,502","70,869","222,121","14,829","77,118","20,476","127,743","401,311","91,537","12,245","126,535","123,154","38,722","113,911","13,677","8,384"
"        5 to 9 years","87,156","12,583","109,026","61,236","394,979","109,841","54,283","13,376","4,047","276,198","150,853","6,510","50,504","205,978","157,366","80,824","68,663","110,212","75,544","29,873","76,242","109,722","199,200","123,797","45,394","137,121","26,013","48,799","39,602","29,270","128,470","28,467","277,595","164,860","20,124","249,853","69,347","81,056","243,996","16,567","84,232","21,983","136,650","439,147","102,638","14,316","137,296","135,800","43,916","126,430","15,547","10,397"
"        10 to 14 years","94,172","12,740","120,362","65,455","440,105","119,104","62,530","14,872","2,941","305,368","167,601","5,927","54,735","224,200","165,828","86,419","72,127","117,205","80,446","33,118","82,140","123,802","213,999","131,132","50,926","145,955","27,358","50,328","42,406","32,527","144,070","31,510","295,359","180,657","19,448","268,994","74,807","85,905","263,574","18,574","90,065","23,095","146,879","479,382","109,239","15,428","145,547","140,672","47,417","138,141","16,511","13,249"
"        15 to 17 years","57,903","7,327","71,394","39,405","267,595","70,778","42,710","9,255","1,568","185,131","104,498","3,288","32,057","141,644","101,070","51,056","42,874","70,262","47,966","20,496","51,346","81,377","136,497","79,764","31,150","87,497","15,702","30,187","24,986","20,950","93,238","18,203","185,699","111,916","10,856","167,083","44,552","50,416","163,903","12,375","55,067","13,089","89,480","287,051","63,034","9,661","90,213","82,721","28,824","84,058","9,337","8,872"
"        18 and 19 years","41,040","5,038","50,434","26,302","187,705","48,351","29,715","6,518","3,036","130,551","72,216","2,636","20,034","94,311","71,574","36,990","30,286","46,852","32,360","14,786","34,836","60,934","96,305","51,562","23,307","61,117","10,877","20,075","15,964","14,666","59,984","12,432","137,187","81,823","9,291","118,509","31,715","34,350","120,029","11,457","42,926","9,315","62,604","192,284","38,965","8,039","67,232","56,903","20,746","59,743","6,485","6,714"
"        20 years","22,380","3,052","27,012","13,784","100,675","25,745","15,790","3,909","2,134","68,315","40,205","2,601","10,107","47,694","36,261","19,936","16,434","24,629","16,680","7,493","18,414","33,897","51,291","27,355","11,710","33,070","5,848","10,449","8,311","7,559","30,632","6,920","73,407","43,877","5,412","62,118","17,294","18,537","66,419","6,120","22,155","5,017","32,530","99,503","20,596","4,604","36,383","30,608","10,487","30,901","3,309","3,439"
"        21 years","21,770","3,122","25,877","13,532","97,758","25,385","15,404","3,911","1,936","67,034","37,531","2,390","10,614","46,715","35,422","18,653","15,588","23,611","16,436","6,962","18,191","33,998","50,899","26,211","10,823","31,705","5,832","9,971","8,318","8,598","30,654","6,603","71,627","43,720","5,325","61,466","17,407","18,199","65,825","5,571","20,688","4,703","31,296","95,575","21,792","4,108","35,311","30,107","10,099","30,533","3,082","3,280"
"        22 to 24 years","58,142","8,933","74,439","37,053","292,754","77,095","41,053","9,689","8,229","192,295","103,944","8,953","30,123","139,153","96,987","48,963","41,638","66,813","45,655","18,653","51,597","94,891","137,407","74,688","29,060","88,084","16,210","27,212","25,676","21,871","88,217","18,073","205,407","117,729","14,419","165,925","46,057","53,042","168,430","13,697","55,270","12,980","90,134","278,817","63,482","9,663","99,452","91,184","27,110","82,429","8,374","9,918"
