"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"Total:","5,024,279","733,391","7,151,502","3,011,524","39,538,223","5,773,714","3,605,944","989,948","689,545","21,538,187","10,711,908","1,455,271","1,839,106","12,812,508","6,785,528","3,190,369","2,937,880","4,505,836","4,657,757","1,362,359","6,177,224","7,029,917","10,077,331","5,706,494","2,961,279","6,154,913","1,084,225","1,961,504","3,104,614","1,377,529","9,288,994","2,117,522","20,201,249","10,439,388","779,094","11,799,448","3,959,353","4,237,256","13,002,700","1,097,379","5,118,425","886,667","6,910,840","29,145,505","3,271,616","643,077","8,631,393","7,705,281","1,793,716","5,893,718","576,851","3,285,874"
"    Male:","2,426,844","381,417","3,537,343","1,476,498","19,549,003","2,899,751","1,749,853","476,719","322,777","10,464,234","5,188,570","727,844","919,196","6,283,130","3,344,660","1,586,092","1,462,305","2,214,921","2,261,286","667,560","2,975,416","3,401,702","4,970,856","2,835,448","1,429,853","3,024,114","544,238","976,742","1,553,734","681,709","4,518,705","1,044,156","9,770,361","5,067,350","398,069","5,781,618","1,961,629","2,097,500","6,362,357","531,730","2,473,758","445,772","3,366,400","14,394,682","1,643,531","317,173","4,220,517","3,843,772","888,898","2,931,605","292,413","1,553,793"
"        Under 5 years","146,518","24,861","199,552","91,817","1,090,803","160,331","89,943","26,159","18,908","525,258","312,206","39,633","58,187","360,236","209,055","96,564","91,927","135,154","142,722","31,237","176,228","173,829","279,785","173,995","86,978","181,782","30,354","64,659","89,237","31,484","255,930","58,270","541,415","292,563","26,785","339,683","123,473","110,045","341,150","26,477","141,805","29,539","201,169","925,595","123,076","14,536","246,230","223,365","45,568","164,681","17,528","59,361"
"        5 to 9 years","154,192","26,134","226,353","98,771","1,222,793","178,024","101,027","28,828","17,025","588,724","345,849","43,022","65,956","389,841","226,520","105,350","101,167","145,144","153,356","35,298","192,648","188,680","304,505","187,843","92,844","195,353","33,807","69,799","98,802","35,657","279,600","66,831","576,640","318,157","26,915","365,311","135,624","124,550","374,761","28,730","155,464","31,412","214,222","1,023,426","135,970","16,937","266,522","242,459","51,285","180,527","19,563","76,820"
"        10 to 14 years","165,911","26,665","247,901","105,410","1,339,118","194,051","112,896","31,116","14,619","645,046","382,923","44,793","71,066","424,843","238,031","111,681","106,753","152,932","162,906","38,895","204,845","206,613","321,864","195,995","106,098","207,308","35,540","71,898","105,067","39,380","302,907","74,620","610,759","347,805","25,773","386,493","143,268","132,413","399,284","31,827","167,747","32,280","228,419","1,104,663","144,539","18,175","281,786","250,103","55,026","195,209","20,909","91,728"
"        15 to 17 years","98,883","14,934","147,704","62,273","802,765","115,315","72,413","18,794","7,598","386,492","229,248","26,382","41,740","262,276","142,028","65,346","62,873","90,317","95,215","23,879","121,955","129,907","200,652","115,994","62,108","122,429","20,261","42,461","61,707","25,046","187,629","44,160","375,520","207,106","14,161","233,804","83,739","77,590","241,689","20,336","98,704","18,233","135,496","659,866","83,501","11,436","170,239","144,336","33,240","116,048","11,846","60,158"
"        18 and 19 years","71,236","10,038","99,944","41,898","550,481","77,558","49,943","12,907","8,269","268,089","155,388","16,728","26,043","176,643","100,093","47,307","44,462","61,180","64,227","17,205","81,725","97,421","140,226","74,807","45,877","84,922","13,958","28,304","39,023","17,503","122,904","29,569","275,547","150,419","11,928","163,135","57,302","52,616","175,095","18,419","73,246","12,437","94,524","441,124","52,582","9,457","128,213","98,401","24,249","81,204","8,117","43,814"
"        20 years","37,892","5,695","52,503","21,485","288,240","40,645","26,218","7,553","5,247","137,148","82,381","10,029","13,163","89,570","50,361","25,483","23,759","31,743","32,296","8,606","42,792","53,822","73,803","39,103","22,773","45,485","7,289","14,671","20,041","8,929","62,819","15,693","145,595","78,123","6,952","84,877","30,069","28,089","95,744","9,392","37,086","6,578","48,292","221,601","27,343","5,367","65,290","52,236","12,352","41,628","4,183","22,122"
"        21 years","36,272","5,667","49,817","20,825","279,278","39,796","25,443","7,110","4,584","133,289","77,322","9,504","13,526","86,207","48,934","23,595","22,540","30,230","31,450","8,013","40,846","52,750","72,754","36,909","20,702","43,398","7,289","13,916","19,541","10,217","61,108","14,614","140,826","75,995","6,703","83,381","29,778","27,301","93,818","8,509","34,390","6,242","46,429","211,290","28,501","4,755","61,844","50,932","11,849","40,856","3,815","20,707"
"        22 to 24 years","95,966","16,286","142,959","57,113","836,937","118,375","67,857","18,225","17,069","380,769","214,507","31,130","38,854","252,567","132,986","62,264","59,779","85,284","86,511","21,376","116,501","149,184","196,908","105,272","55,774","120,720","19,878","37,993","59,581","25,630","176,595","40,093","410,699","204,333","18,273","226,035","79,588","79,124","242,180","21,373","92,509","17,304","132,297","611,277","83,851","11,210","175,395","154,088","31,478","110,249","10,450","60,095"
"        25 to 29 years","153,924","28,971","242,748","94,401","1,489,276","230,827","112,227","29,902","37,487","648,960","358,512","50,259","60,780","437,563","219,080","101,211","95,468","143,620","147,172","38,532","201,364","250,309","336,360","185,305","88,085","201,123","34,365","64,520","109,427","42,510","299,968","69,229","730,854","337,813","30,154","375,753","131,372","144,647","414,508","36,036","154,024","28,507","229,438","1,033,747","126,450","18,837","289,878","286,847","53,181","186,015","17,964","90,627"
"        30 to 34 years","150,743","29,668","236,010","94,367","1,475,900","233,250","114,291","30,264","37,510","667,359","352,736","48,538","58,081","434,582","214,673","101,295","96,310","141,654","152,496","41,643","210,470","243,094","324,709","196,174","86,041","200,745","35,910","66,143","111,426","44,159","307,748","69,694","726,697","333,168","30,024","374,525","132,078","152,415","423,823","36,608","154,705","29,197","224,552","1,033,151","115,629","19,973","288,893","295,624","52,624","190,954","19,508","87,895"
"        35 to 39 years","149,359","28,305","225,588","94,212","1,397,773","217,892","109,701","29,591","29,749","650,336","340,811","48,458","59,445","426,229","214,222","102,766","97,446","140,851","154,012","40,529","203,574","220,221","304,173","198,472","88,878","196,736","35,605","66,755","108,569","41,595","300,115","67,485","657,626","320,295","28,289","361,621","133,446","150,297","399,792","34,433","151,886","29,947","216,601","1,014,833","116,138","19,523","283,586","285,188","53,719","190,419","19,995","91,668"
"        40 to 44 years","145,334","23,252","208,837","89,728","1,258,177","191,092","102,841","26,559","21,272","615,795","326,939","44,619","56,386","401,376","205,250","94,552","87,970","138,494","139,090","38,133","183,792","198,466","286,991","176,684","86,251","179,869","32,196","58,854","99,731","37,703","286,168","60,617","594,868","310,286","23,474","340,513","119,644","138,078","367,480","30,232","144,921","26,060","206,876","934,395","110,487","17,951","260,994","249,672","55,524","175,729","17,981","100,875"
"        45 to 49 years","151,946","21,673","206,512","88,851","1,217,684","182,034","106,082","26,861","17,434","642,629","338,274","43,226","51,878","394,071","205,146","88,549","82,263","140,084","130,080","40,191","180,458","203,173","298,815","163,995","86,142","175,924","29,626","54,982","98,153","41,517","287,736","57,484","580,744","325,142","20,901","347,791","113,814","130,163","377,142","30,672","150,177","23,438","212,408","906,701","90,183","18,621","262,001","233,057","57,402","170,489","16,497","104,093"
"        50 to 54 years","153,401","22,368","205,380","88,826","1,233,002","172,476","121,121","29,650","16,736","674,608","337,964","45,521","50,046","401,138","204,744","92,694","82,302","141,002","135,890","44,555","194,182","225,729","321,576","172,079","87,517","180,929","30,108","54,036","99,744","48,070","307,042","59,183","632,984","327,833","20,927","364,875","111,049","125,380","412,965","34,947","154,620","24,069","213,982","859,074","77,857","20,777","270,259","231,982","57,858","185,776","15,779","108,246"
